trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.6703200460356393, 'e': 0.06081006262521795}",20,12,14.915762590579945,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.6636502501363194, 'e': 0.0566989265798469}",20,1,6.543168359288282,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
42,False,"{'a': 0.6570468198150567, 'e': 0.05286572873835034}",25,17,12.075649134948002,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.6505090947233165, 'e': 0.04929167876046215}",30,10,18.138876936307742,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.6440364210831414, 'e': 0.045959256649044204}",20,9,19.096638788837613,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.6376281516217733, 'e': 0.042852126867040166}",20,4,24.407075467863503,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.631283645506926, 'e': 0.039955058260653896}",25,12,23.780969604883598,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.6250022682827008, 'e': 0.03725384939621579}",30,13,24.450310052892938,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.6187833918061408, 'e': 0.03473525894473855}",25,0,15.533172771806276,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
49,False,"{'a': 0.6126263941844161, 'e': 0.03238694077290704}",20,13,11.005136261473162,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.6065306597126334, 'e': 0.030197383422318487}",25,12,14.189370680443092,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.6004955788122659, 'e': 0.028155853680300096}",25,11,27.457061437351296,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5945205479701944, 'e': 0.026252343965687947}",20,16,6.023846405229729,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5886049696783552, 'e': 0.02447752327165266}",30,8,30.569123895631343,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5827482523739896, 'e': 0.02282269142509297}",25,0,34.97206279407493,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.5769498103804866, 'e': 0.021279736438377158}",20,14,10.945169602367892,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5712090638488149, 'e': 0.01984109474437028}",25,14,16.359480392946843,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5655254386995371, 'e': 0.018499714119819242}",20,2,17.841530128057627,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.559898366565402, 'e': 0.017249019115346265}",30,0,43.648367315426356,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5543272847345071, 'e': 0.01608287882258842}",30,18,7.070610380487928,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5488116360940265, 'e': 0.014995576820477703}",30,9,31.755773154819202,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5433508690744998, 'e': 0.013981783153338296}",25,13,21.608679838083294,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5379444375946745, 'e': 0.013036528203437724}",20,7,22.303904274548533,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5325918010068972, 'e': 0.012155178329914935}",25,8,23.77291643248297,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5272924240430485, 'e': 0.011333413154667387}",25,7,28.328478112052515,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.522045776761016, 'e': 0.010567204383852646}",20,6,21.238829653688633,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5168513344916992, 'e': 0.009852796061187257}",30,8,37.357094242137,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
